Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.3612,2017-11-20 17:38:31+00:00,0.0,0.878,0.122,"""Thank you for all your love..."" David Cassidy's brother says after ""Partridge Family"" star was hospitalized due to… https://t.co/SPo5ukQTuh",1,@CBSNews
0.1511,2017-11-20 17:20:35+00:00,0.0,0.935,0.065,"Santa Claus is coming to town! But if you want to see him at this iconic location, you'll have to book an appointme… https://t.co/DtiksghGlE",2,@CBSNews
0.0,2017-11-20 17:06:38+00:00,0.0,1.0,0.0,"""We're going to have the wall. It's part of what we're doing. We need it. That's rough territory. That's where the… https://t.co/LnklMrDlW2",3,@CBSNews
0.4939,2017-11-20 17:05:40+00:00,0.0,0.849,0.151,"“So we'll be submitting plans on health care, plans on infrastructure, and plans on welfare reform…soon after taxes… https://t.co/tsj47cnSAE",4,@CBSNews
0.7906,2017-11-20 17:03:01+00:00,0.077,0.588,0.335,"""We're going to give the American people a huge tax cut for Christmas. Hopefully that will be a great big beautiful… https://t.co/3cTmltoWhr",5,@CBSNews
-0.296,2017-11-20 17:02:07+00:00,0.109,0.891,0.0,"""This designation will impose further sanctions and penalties on North Korea and related persons,"" @POTUS says of t… https://t.co/ntSNEWYvQz",6,@CBSNews
0.0,2017-11-20 17:00:27+00:00,0.0,1.0,0.0,"“One of the primary goals of our trip was to pursue the denuclearization of the Korean peninsula… Today, U.S. is de… https://t.co/makTNUT6qO",7,@CBSNews
0.0,2017-11-20 16:57:30+00:00,0.0,1.0,0.0,"WATCH: President Trump holds a cabinet meeting, declares North Korea a state sponsor of terror… https://t.co/M8BRANjztX",8,@CBSNews
0.0,2017-11-20 16:55:31+00:00,0.0,1.0,0.0,"These turkeys are living it up at this luxury D.C. hotel before traveling to the White House, where they are set to… https://t.co/vgnHIqQNvq",9,@CBSNews
0.765,2017-11-20 16:48:02+00:00,0.0,0.694,0.306,"Interested in becoming financially independent and retiring young? Learn how ""super savers"" are achieving their goa… https://t.co/0ENROdM1Dq",10,@CBSNews
-0.2263,2017-11-20 16:39:24+00:00,0.083,0.917,0.0,"“There are hispanics that have stopped me on the side and said 'you're doing what we can't do, keep moving forward.… https://t.co/hrPxW9aacb",11,@CBSNews
0.5574,2017-11-20 16:37:14+00:00,0.0,0.841,0.159,"“You haven't been with my mom for 18 years. That's my hero right there. She's everything,” Fonseca’s daughter says… https://t.co/L8nQ8rfCLW",12,@CBSNews
0.0,2017-11-20 16:35:05+00:00,0.0,1.0,0.0,"“What are we teaching our next generation of presidents to be?... If you can say ‘grab those women by the p****,’”… https://t.co/bXyZuC7IdA",13,@CBSNews
0.0,2017-11-20 16:30:28+00:00,0.0,1.0,0.0,"""He actually put us out there and more recognized than it ever has been before,"" Fonseca says of Sheriff Nehls shar… https://t.co/QoCr16xTLT",14,@CBSNews
